family_id,topic,n_prompts,mean_overlap,std_overlap,min_overlap,max_overlap
inventor_telephone,Inventor of the Telephone,5,0.5756863870117728,0.23497564226184856,0.25,0.8181818181818182
inventor_gravity,Discoverer of Gravity,5,0.5481973543142958,0.12109238075119223,0.3333333333333333,0.7391304347826086
highest_mountain,Highest Mountain on Earth,5,0.5227747054433711,0.10880977911183579,0.3793103448275862,0.7391304347826086
inventor_relativity,Developer of Relativity,5,0.4958878924396166,0.07207633085564165,0.3793103448275862,0.6666666666666666
longest_river,Longest River in the World,5,0.45408916365438107,0.20856171340073965,0.21212121212121213,0.7391304347826086
capital_canada,Capital of Canada,5,0.3867373867373867,0.27134317454685153,0.08108108108108109,0.8181818181818182
capital_brazil,Capital of Brazil,5,0.3826417722069896,0.25536482571042995,0.08108108108108109,0.7391304347826086
capital_france,Capital of France,5,0.37949092905614645,0.24735357564116672,0.08108108108108109,0.7391304347826086
capital_spain,Capital of Spain,5,0.3703340798992973,0.24589988815255334,0.08108108108108109,0.7391304347826086
capital_italy,Capital of Italy,5,0.36878570878570877,0.23924023981188416,0.08108108108108109,0.6666666666666666
capital_germany,Capital of Germany,5,0.36308770308770305,0.2357847961108709,0.08108108108108109,0.6666666666666666
capital_australia,Capital of Australia,5,0.28831384734610543,0.20495057639828085,0.08108108108108109,0.6
largest_country,Largest Country by Area,5,0.2839789520824003,0.11335350521381077,0.14285714285714285,0.42857142857142855
inventor_evolution,Developer of Evolution Theory,5,0.2641251221896383,0.09147991317644344,0.14285714285714285,0.42857142857142855
inventor_lightbulb,Inventor of the Lightbulb,5,0.24278847589192418,0.2169406791117085,0.0,0.6
capital_japan,Capital of Japan,5,0.210990990990991,0.2718446039153013,0.0,0.6666666666666666
